"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"56958",18339,57,0.0311027732610303,13.4285714285714,0,0.903225806451613,0.478260869565217,16,0.1,0.4375,0.916666666666667,"India"
"56959",18340,58,0.116562835615557,17.2857142857143,1,0.903225806451613,0.464788732394366,16,0.1,0.424242424242424,0.916666666666667,"India"
"56960",18341,59,0.244321013480231,23.1428571428571,1,0.85,0.46875,17,0.01,0.5,0.833333333333333,"India"
"56961",18342,60,0.432326224275012,32.5714285714286,1,0.857142857142857,0.46875,17,0.01,0.514285714285714,0.833333333333333,"India"
"56962",18343,61,0.369066675776716,40.4285714285714,1,0.914285714285714,0.452054794520548,9,0.03,0.444444444444444,0.916666666666667,"India"
"56963",18344,62,0.407623762614236,54.2857142857143,1,0.918918918918919,0.452054794520548,9,0.03,0.459459459459459,0.916666666666667,"India"
"56964",18345,63,0.155913859370819,56.2857142857143,1,0.923076923076923,0.452054794520548,9,0.03,0.473684210526316,0.916666666666667,"India"
"56965",18346,64,0.193030208488444,71.5714285714286,1,0.926829268292683,0.452054794520548,9,0.03,0.487179487179487,0.916666666666667,"India"
"56966",18347,65,0.0839005721585342,76.1428571428571,1,0.930232558139535,0.452054794520548,9,0.03,0.5,0.916666666666667,"India"
"56967",18348,66,0.0963805682226996,91.8571428571429,1,0.933333333333333,0.452054794520548,9,0.03,0.51219512195122,0.916666666666667,"India"
"56968",18349,67,-0.00284986197265281,93.8571428571429,0,0.936170212765957,0.452054794520548,9,0.03,0.523809523809524,0.916666666666667,"India"
"56969",18350,68,-0.100197660638544,89.7142857142857,0,0.938775510204082,0.452054794520548,9,0.03,0.534883720930233,0.916666666666667,"India"
"56970",18351,69,-0.0289292672924336,107.428571428571,0,0.941176470588235,0.452054794520548,9,0.03,0.545454545454545,0.916666666666667,"India"
"56971",18352,70,0.0292181824999843,123,0,0.943396226415094,0.452054794520548,9,0.03,0.555555555555556,0.916666666666667,"India"
"56972",18353,71,0.73928444241653,191.571428571429,1,0.945454545454545,0.452054794520548,9,0.03,0.565217391304348,0.916666666666667,"India"
"56973",18354,72,0.58508333045612,259.428571428571,1,0.947368421052632,0.452054794520548,9,0.03,0.574468085106383,0.916666666666667,"India"
"56974",18355,73,0.120200897051032,240,1,0.949152542372881,0.452054794520548,9,0.03,0.583333333333333,0.916666666666667,"India"
"56975",18356,74,0.176684795675092,299.285714285714,1,0.949152542372881,0.44,9,0.03,0.571428571428571,0.916666666666667,"India"
"56976",18357,75,0.192521145299389,366.285714285714,1,0.916666666666667,0.46875,17,0.01,0.66,0.833333333333333,"India"
"56977",18358,76,0.295688189078915,503.857142857143,1,0.918918918918919,0.46875,17,0.01,0.666666666666667,0.833333333333333,"India"
"56978",18359,77,0.205437354222377,559.142857142857,1,0.921052631578947,0.46875,17,0.01,0.673076923076923,0.833333333333333,"India"
"56979",18360,78,0.113738444294174,559.714285714286,1,0.923076923076923,0.46875,17,0.01,0.679245283018868,0.833333333333333,"India"
"56980",18361,79,0.0913675755391211,597.428571428571,1,0.925,0.46875,17,0.01,0.685185185185185,0.833333333333333,"India"
"56981",18362,80,0.119281260910654,718.714285714286,1,0.926829268292683,0.46875,17,0.01,0.690909090909091,0.833333333333333,"India"
"56982",18363,81,0.0936704926037178,766.285714285714,1,0.928571428571428,0.46875,17,0.01,0.696428571428571,0.833333333333333,"India"
"56983",18364,82,0.0663914560747636,802.428571428571,1,0.930232558139535,0.46875,17,0.01,0.701754385964912,0.833333333333333,"India"
"56984",18365,83,0.0377975594032221,810.714285714286,1,0.931818181818182,0.46875,17,0.01,0.706896551724138,0.833333333333333,"India"
"56985",18366,84,0.0333245834145869,882.285714285714,1,0.933333333333333,0.46875,17,0.01,0.711864406779661,0.833333333333333,"India"
"56986",18367,85,0.0102010002540633,915.142857142857,1,0.934782608695652,0.46875,17,0.01,0.716666666666667,0.833333333333333,"India"
"56987",18368,86,-0.00301165021111298,957.857142857143,0,0.936170212765957,0.46875,17,0.01,0.721311475409836,0.833333333333333,"India"
"56988",18369,87,-0.0302957442416579,964.857142857143,0,0.9375,0.46875,17,0.01,0.725806451612903,0.833333333333333,"India"
